"","EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"176",4,1,4,2,5,2,5,2,4,2,3,4,5,2,4,2,3,2,1,3,1,5,2,4,2,4,2,4,4,4,4,3,4,3,4,4,4,2,4,3,4,2,3,2,3,3,4,4,5,2,6700,1111,1800,2097,2041,1760,3393,2622,2664,1361,1536,4784,1512,2225,2287,3303,2400,3152,1392,2047,3200,8569,2024,1448,4311,2576,3383,2344,3048,1647,1911,2271,1568,2711,1689,3209,2816,2112,2856,1993,2553,2216,1544,3991,1240,1800,1970,1608,6512,1664,"2016-03-03 04:59:50",2021,1137,17,137,17,4,"GB","51.5","-0.13"
"177",3,2,2,2,3,1,3,4,2,5,5,1,5,1,4,5,5,4,5,5,2,4,1,4,2,4,2,3,4,2,2,3,5,2,2,4,4,1,3,5,5,1,5,1,4,1,5,5,5,5,6702,4044,3724,2700,3785,4627,4598,3076,4074,1196,1993,2860,1186,38111,3189,2186,1340,2278,1642,866,4810,2401,1370,2764,3980,1946,1830,3294,1578,2360,2258,3828,1682,94081,1988,2748,2916,2952,3248,1853,1145,2232,1314,2586,2712,2164,1502,1996,1307,819,"2016-03-03 05:00:22",1280,800,37,257,5,1,"BR","-23.4733","-46.6658"
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3125,NA,NA,1943,NA,NA,NA,NA,3976,NA,1881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1936,NA,NA,NA,NA,NA,NA,14604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1901,NA,NA,1467,NA,NA,NA,NA,1234,NA,11287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4049,NA,NA,NA,NA,NA,NA,1734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1366,NA,NA,1105,NA,NA,NA,NA,509,NA,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952,NA,NA,NA,NA,NA,NA,1351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2559,NA,NA,2203,NA,NA,NA,NA,3959,NA,2583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3528,NA,NA,NA,NA,NA,NA,2552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"182",3,2,4,2,5,2,4,5,1,5,5,3,5,2,2,4,2,2,2,2,1,5,3,5,1,5,1,5,5,5,3,3,5,3,2,5,3,2,3,4,3,2,5,2,4,1,2,2,5,5,4930,2907,3446,4004,2139,2352,3404,2303,5316,1088,3009,2306,1833,4013,2688,2895,15759,1956,2572,1853,2358,3622,4181,3039,3801,2404,3358,3749,1765,3071,3541,4132,1807,6094,3813,3285,2868,22744,2511,3019,2669,3583,1236,3100,2209,3894,3175,1781,3221,1444,"2016-03-03 05:07:05",1280,800,3,184,7,1,"US","34.8601","-82.2464"
"183",2,1,4,2,4,1,3,3,2,1,3,4,4,2,2,2,2,2,1,2,1,5,1,5,1,4,1,4,3,4,4,1,5,2,1,3,5,4,3,3,4,1,5,1,4,1,5,3,5,5,5985,6784,2720,2904,2712,1968,4535,2832,3319,2169,2449,2857,3625,2888,2856,1976,2473,2081,5000,2071,3059,2040,1945,2040,5648,2256,2736,4504,4281,2975,2088,4063,3110,1968,3952,3448,2737,2231,1768,2896,2119,4056,1104,2648,2240,2248,3927,3112,2464,2016,"2016-03-03 05:07:49",1920,1200,25,150,11,1,"DK","55.6667","12.5833"
"184",3,1,4,1,5,1,5,2,3,1,2,3,4,5,4,1,1,1,2,1,1,5,1,5,1,5,1,4,5,5,4,3,3,1,3,2,3,1,1,3,5,1,5,1,4,1,5,5,4,5,30248,4425,2455,1768,3513,2088,2424,3337,3832,1968,2864,5305,3817,2761,6521,3937,2713,2063,4328,1145,3082,9016,2960,7033,3456,3929,1616,2080,9273,1745,10120,9450,6841,3088,7481,5736,2687,2657,2433,3824,2752,3088,4008,2520,1864,1544,2168,2121,2272,1543,"2016-03-03 05:09:29",1366,768,4,215,7,1,"NL","52.3667","4.9"
"185",2,5,1,5,2,2,1,5,1,5,5,2,5,1,5,5,5,5,5,5,2,4,5,4,2,4,2,4,4,2,3,4,5,5,1,5,4,3,2,4,5,3,5,3,4,2,4,5,4,5,2816,1416,2821,1505,1495,5073,1735,1829,2374,1396,1318,2359,1482,1303,1780,1504,1987,1101,1633,3313,3328,2163,2045,2330,2753,3087,2591,2163,2057,2192,1749,3766,1468,3815,2468,3247,1416,3315,2152,3717,1514,2056,1091,2669,1613,2192,1101,919,2635,708,"2016-03-03 05:11:02",1366,768,4,110,8,16,"US","38.0","-97.0"
"186",2,4,4,4,4,2,2,4,2,4,4,3,4,3,4,2,2,2,2,2,2,2,1,2,2,3,3,4,3,3,3,4,5,1,1,3,2,3,2,5,4,1,5,1,4,1,4,4,5,5,8199,7345,7369,2988,5058,3951,3514,6484,4555,3768,6126,8858,4875,15031,4939,2693,3226,6546,2605,2390,10188,7225,2772,6269,14618,6778,5815,3935,13161,9885,9686,6174,5695,4827,5735,5122,3226,3426,7161,2144,3345,2254,2278,9026,5074,5137,3760,2567,4269,3854,"2016-03-03 05:12:17",1680,1050,18,289,8,1,"GB","51.5","-0.13"
"187",1,1,3,4,4,2,3,4,1,4,4,3,5,1,3,4,5,5,3,4,1,3,4,5,2,3,2,4,4,3,3,2,2,2,3,4,3,3,3,4,3,3,3,3,3,3,3,2,4,3,4075,3886,4412,3220,3435,2526,6291,3824,2934,2642,2204,2261,2867,29824,3751,118561,10047,2159,3774,2365,5020,3470,7032,3255,21625,3396,7208,5636,2661,4046,3841,3931,7176,4549,6673,4241,2018,2940,2750,4028,1924,2948,4027,38888,3690,3053,2528,3800,3457,6572,"2016-03-03 05:13:34",1366,768,5,393,14,20,"US","40.4301","-74.0985"
"188",3,2,3,2,4,2,1,4,1,4,5,2,5,1,5,5,5,5,5,5,1,5,1,5,1,5,1,5,5,5,4,3,4,2,0,3,5,1,4,3,4,4,4,2,3,1,4,4,5,3,60096,4680,5776,8390,5939,5278,4440,3145,2246,49875,2871,5229,2769,3561,5602,1545,2810,2111,1276,2943,3472,2675,4939,1974,2953,2877,1699,1879,1684,1921,7106,6214,24181,9721,0,5572,2151,2383,2952,28371,4283,4674,4433,5035,2823,2543,3271,1821,1757,4983,"2016-03-03 05:14:36",1920,1200,11,331,13,1,"GB","51.5975","-0.2146"
"189",1,5,4,5,3,2,1,5,2,5,3,3,5,1,4,3,4,4,2,4,1,4,2,5,2,5,3,4,4,3,2,4,4,3,3,2,4,2,3,3,5,2,3,3,3,3,5,5,4,4,5376,3504,3184,1544,2576,6000,2632,1400,2296,1000,7144,1552,1704,1712,3392,2936,1496,1792,3336,1216,1927,1856,2371,1264,3615,2000,5656,2184,1712,3896,4368,1360,2325,2808,3641,3103,1743,2432,2240,2080,1784,6384,3448,6696,2648,4144,1112,1712,2168,928,"2016-03-03 05:19:52",1920,1200,883,140,6,1,"DE","47.6667","9.1833"
"190",4,1,3,1,4,2,4,4,3,3,4,2,4,1,4,5,4,4,5,4,2,5,3,3,2,4,2,3,4,3,3,4,4,4,2,4,4,3,5,5,4,2,5,1,4,1,4,4,4,4,3392,2509,96814,9875,2798,2504,6415,4584,2602,4797,4032,6263,1393,14131,3507,1810,2380,1902,2674,2387,3606,2431,16223,10948,6450,8082,18109,3125,1492,2408,2044,4296,6628,2687,1167,2655,3164,1664,1263,2813,2244,4000,4390,8386,2215,4626,2225,1827,21716,64985,"2016-03-03 05:20:26",1366,768,6,397,18,20,"US","40.4301","-74.0985"
"191",3,3,4,4,5,3,3,5,2,2,5,2,5,3,3,3,2,1,4,3,1,5,1,5,1,5,1,5,5,4,2,3,4,2,2,2,4,2,3,3,3,4,5,2,3,2,3,3,5,3,13052,8148,5717,6070,3334,7062,5801,5249,4483,5334,3497,8218,3119,3286,5464,10983,4333,3202,5699,2467,3581,21766,5047,2730,5563,3034,2950,5650,2601,5565,5685,3599,5401,4600,4737,6019,4050,2981,4283,3382,4220,8068,2730,7000,3369,4197,4086,8965,6202,2617,"2016-03-03 05:20:49",320,568,27,271,28,1,"US","40.7859","-74.7802"
"192",4,2,5,2,4,1,3,3,3,2,5,5,4,4,5,1,4,1,3,2,1,3,2,4,2,4,2,5,4,4,3,4,3,2,2,3,3,4,2,3,3,2,4,2,4,1,4,3,4,5,7220,4432,11849,7995,2745,3700,4101,3075,2233,4047,2783,3831,4264,17885,4531,4613,2533,2765,6329,3617,4749,7272,5111,9613,3418,5558,2845,2335,2530,2944,2350,3369,5304,4243,5665,7102,2470,17892,4170,2036,4816,87306,1849,3506,3082,3799,5648,2268,3767,1982,"2016-03-03 05:21:07",1280,1024,31,324,103,1,"GB","51.5","-0.13"
"193",4,1,5,1,5,1,5,5,1,2,4,4,1,4,4,4,3,3,3,2,1,4,2,5,1,5,1,4,4,4,2,2,2,4,2,0,2,4,2,4,1,1,1,2,4,1,3,1,4,4,9047,4128,2121,13962,3331,3767,2805,5365,2388,4797,3457,6587,10102,3769,2883,4043,4700,2901,4467,2753,4921,5240,11141,2112,5246,31053,4775,3371,3327,4123,26535,5341,5679,2245,2804,0,2171,11451,2670,8107,4529,1110,18078,4389,2369,5870,3243,3247,4143,3179,"2016-03-03 05:21:45",1366,768,4,291,15,20,"US","40.4301","-74.0985"
"194",3,3,3,2,4,2,4,3,4,4,1,5,4,3,2,3,1,1,3,3,2,2,4,2,3,2,3,4,2,4,4,4,2,1,2,2,4,3,2,3,5,1,4,1,4,2,5,4,5,4,11693,3113,1040,3947,2796,3082,6452,5102,5746,5364,2987,3267,3789,5475,7066,10038,7656,6498,3053,653,8435,2655,6992,1266,4301,12833,7348,4251,6761,4752,2965,10468,2067,5855,11663,11000,4861,3849,3491,8363,5448,3729,4283,5743,3317,4614,1929,4703,3884,9897,"2016-03-03 05:22:46",320,568,65,272,53,1,"ES","40.4","-3.6833"
"195",5,1,3,2,5,1,5,2,2,4,5,1,4,2,4,2,5,4,5,5,3,3,3,2,3,4,2,2,2,4,2,1,4,2,2,2,4,2,4,3,2,1,5,1,5,1,4,3,2,5,215443,2713,18089,14948,3990,2329,3380,4814,2987,3145,2173,49353,5268,3627,4510,1689,5906,2250,1543,1897,31824,4696,3834,6780,1955,3452,2939,2437,1199,1720,29949,3891,10356,2349,3066,3143,4235,1700,3154,2456,3173,10220,2574,1571,2044,2309,6259,1513,2554,963,"2016-03-03 05:23:14",1366,768,39,510,7,20,"US","40.4301","-74.0985"
"196",1,5,1,5,2,4,1,5,3,5,5,3,5,2,5,5,4,4,4,5,4,5,2,4,3,4,3,4,4,2,4,2,5,3,2,4,2,3,4,4,2,2,3,2,3,3,4,2,5,4,6288,3202,6218,5059,3489,3079,5947,5113,6367,5622,4025,8248,3293,3649,18168,2676,8966,4698,3224,2542,5621,2918,3442,2986,10282,9616,5350,6920,4816,7129,7157,5130,3580,11193,6305,11752,7643,4596,4005,5454,3673,13400,3232,4558,4233,3031,11177,2959,9685,2963,"2016-03-03 05:23:19",1366,768,14,300,18,20,"US","40.4301","-74.0985"
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,7284,NA,NA,4654,NA,NA,NA,NA,5443,NA,5607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7265,NA,NA,NA,NA,NA,NA,6117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"198",3,2,3,3,3,1,1,2,4,4,4,3,4,3,3,3,2,1,3,2,1,4,2,4,2,4,3,4,4,4,2,4,3,3,2,2,3,4,2,2,1,3,3,2,2,2,3,1,4,4,4599,2726,2941,2472,2549,6005,3581,4787,2752,2095,2216,2231,2132,26906,3297,4889,2746,2069,3401,2196,2788,2788,6190,2138,2292,5514,2852,8977,8591,4840,2263,3217,3170,2255,3006,3152,3326,16172,943,16131,2098,5245,10999,4643,5208,2084,2832,1974,4256,1324,"2016-03-03 05:24:55",1366,768,36,229,14,20,"US","40.4301","-74.0985"
"199",3,2,4,0,5,2,4,4,2,2,4,3,5,2,4,4,5,4,4,2,1,4,1,5,1,4,2,5,5,5,2,4,5,3,1,1,2,2,2,3,4,2,3,2,4,1,4,3,5,5,3940,3087,4770,0,4386,2682,5554,3810,3999,2554,2869,6683,22855,3810,4325,4613,8385,7117,3722,1871,3599,3652,5088,16056,5444,2514,5276,3583,6018,3821,2949,4196,3900,7523,5088,6592,11255,13748,3286,6741,3088,8965,3931,3870,3890,3910,4127,5394,4227,4612,"2016-03-03 05:25:11",1366,768,29,269,395,20,"US","40.4301","-74.0985"
"200",3,3,3,4,3,3,1,4,2,4,2,4,2,4,4,1,1,1,4,2,2,2,2,5,3,3,3,2,4,3,5,4,5,2,3,3,4,1,4,2,5,1,5,2,4,1,5,5,4,3,6953,3451,5078,3875,3540,4840,4484,9055,5776,2713,8949,4010,3319,5745,3953,5403,5863,3702,8845,4129,5628,5473,2374,6252,5907,4512,6344,4595,6755,6303,4292,1960,5721,1728,13090,8086,3544,29400,3482,22316,1749,9268,4640,7433,13903,8963,2644,1902,9095,4356,"2016-03-03 05:25:44",1920,1200,126,317,17,1,"FI","60.1925","24.8729"
"201",4,1,5,2,5,1,5,3,4,3,5,3,5,1,5,4,5,5,4,5,1,5,2,5,1,5,1,5,5,5,3,3,5,4,4,4,4,1,3,5,5,1,5,1,5,1,5,4,5,5,14705,4002,2820,5620,5064,1901,4336,5234,4933,3467,1951,3913,2035,3049,4430,2050,3166,1950,2567,2284,2580,2965,5616,1932,3134,1816,3083,3066,2583,2432,6332,6203,2298,6469,3353,4517,4317,2600,5285,1783,2167,1732,1680,2717,766,3417,3200,4283,2465,1817,"2016-03-03 05:26:09",320,568,59,192,11,1,"GB","51.3657","-0.253"
"202",3,1,5,3,5,1,4,5,5,4,4,3,4,3,2,3,4,3,4,2,2,4,4,3,1,3,1,5,5,4,4,2,4,2,4,1,5,1,5,3,3,1,2,1,4,4,5,4,4,3,7164,2601,8768,2711,4509,2649,3305,3317,6798,3386,3621,3019,1452,7124,3952,3864,5219,2174,4294,2472,4806,3272,2632,3703,3443,2070,4944,6718,1226,2769,3234,3236,9644,2282,3965,3506,3782,3553,1099,3291,3885,5353,2474,3798,3834,3170,1531,1200,2511,2079,"2016-03-03 05:26:13",360,640,17,186,9,1,"US","33.8287","-118.1169"
"203",4,1,4,2,4,2,3,3,4,2,2,3,4,2,4,2,4,3,4,2,2,3,4,2,4,3,4,5,4,4,2,4,4,4,2,4,2,2,1,4,3,2,4,1,4,2,4,3,4,4,7244,9644,14337,4073,6316,3806,10135,14222,4254,4611,5850,6052,7264,5544,2917,4379,10449,3088,5234,2798,11179,5547,562,5170,6513,4234,8095,7484,4366,3259,4926,10563,4557,7808,4859,9995,4138,36504,2252,22316,4474,3629,3052,5560,5526,13126,3066,5470,6105,4844,"2016-03-03 05:27:26",1920,1080,43,353,22,1,"NL","52.3667","4.9"
"204",1,5,3,4,3,4,2,5,4,5,4,3,5,2,3,4,3,1,4,4,1,3,1,5,3,5,2,4,4,5,3,4,4,3,4,4,4,3,3,4,4,2,5,1,4,1,4,3,4,5,4079,1589,2527,1144,1561,2154,2883,2583,2909,1854,1991,4547,1532,4554,3143,1658,24727,3094,2731,1717,2383,4601,2804,2840,7101,1009,3992,22408,989,7232,787,1894,4639,20273,2861,3107,24071,3182,3214,915,1557,3209,2303,18263,3766,3740,6350,2752,39369,2021,"2016-03-03 05:27:46",1366,768,18,278,22,20,"US","40.4301","-74.0985"
"205",1,3,4,4,4,2,3,3,2,3,1,5,3,5,1,1,1,1,1,1,1,4,1,4,1,4,1,4,4,4,5,1,5,1,5,1,3,1,4,3,5,2,4,3,4,1,4,4,4,4,98918,2365,2126,1739,1204,2208,3468,1077,4653,3349,8653,6961,2414,4582,1479,1575,2963,3464,1281,1532,3533,1705,1210,1353,3469,2767,3211,1900,1380,1443,1236,5240,1608,1357,2693,4823,3039,2089,3661,5744,2668,8208,1637,1371,1532,1725,1588,1965,5177,2121,"2016-03-03 05:29:29",1440,900,3,238,19,1,"ES","36.5953","-4.6399"
"206",3,3,4,2,5,1,4,4,4,3,5,3,5,1,4,5,5,5,4,4,1,5,4,5,1,5,1,5,5,4,4,5,4,3,3,4,5,1,4,5,3,1,5,5,4,1,2,3,5,5,10101,4050,3449,3512,7064,3380,4200,5112,9784,7712,8713,2560,1696,3095,1712,2136,5671,4296,3439,1944,1815,1646,4768,5655,2024,2408,2512,4920,1527,1872,4703,3096,1112,4665,6928,11833,2024,4320,4865,4336,2616,5551,1840,2585,4251,2680,4033,8720,2481,1320,"2016-03-03 05:30:58",1280,1024,80,207,16,7,"US","35.3859","-94.3986"
"207",3,4,3,4,1,3,1,3,0,1,5,4,4,4,2,3,5,4,2,4,2,4,4,4,2,4,2,4,4,3,3,4,4,4,3,4,3,2,3,3,3,2,4,4,4,2,4,3,1,4,7420,3147,3353,1402,2795,2903,6762,2663,0,2884,3589,2565,2753,1859,5457,9551,2807,5754,5548,1876,8002,1862,2680,1658,3731,2040,6666,4053,8432,2503,1856,3996,3639,3549,7564,3843,3621,5933,2306,5783,1973,6360,4652,6756,4170,1415,4031,3127,7796,3110,"2016-03-03 05:32:21",1366,768,398,206,12,3,"IN","13.0833","80.2833"
"208",4,3,4,2,4,1,3,2,4,2,1,5,1,5,2,1,1,1,1,1,1,4,1,4,2,3,2,4,3,4,4,3,4,1,3,3,4,2,4,4,5,1,5,1,5,1,5,5,5,5,3407,2810,3138,3595,1998,2525,3336,1744,2157,4335,1440,1935,1054,1763,3543,1731,1949,1035,45562,1055,2943,21000,856,2153,2204,1338,1154,3372,4423,1118,1194,3186,1576,1813,1998,3896,2581,1627,4880,1322,1136,1356,1608,1426,1493,1405,1678,1319,1900,881,"2016-03-03 05:33:10",1680,1050,3,170,4,1,"GB","51.5","-0.13"
"209",2,1,5,3,5,1,4,3,4,2,1,5,1,5,1,2,1,1,3,1,1,5,4,4,2,1,2,3,4,4,4,2,4,1,5,1,4,2,3,4,5,1,4,1,5,1,5,5,4,5,5465,1559,4282,2784,2421,2106,6938,9361,5683,3350,2706,2177,2290,1552,2303,8116,6002,2017,6629,2792,3937,3234,2261,5266,6541,2110,10990,4305,5256,3486,4646,5405,2936,3344,3454,3589,2402,2987,4063,3759,1932,3870,3515,8335,1510,2867,3101,5641,2490,1843,"2016-03-03 05:33:52",1280,1024,29,201,6,1,"GB","52.596","-2.1257"
"210",4,3,5,2,5,1,3,3,3,3,1,5,4,5,2,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,3,4,3,3,3,3,1,2,4,4,2,4,3,3,1,4,3,4,4,6279,6287,4535,4791,2439,5592,3504,5849,4720,6895,4048,3936,4888,27240,4415,3063,1969,1416,3472,5720,4955,5408,5913,3402,2985,2752,3785,2935,2648,2505,3041,16328,2879,3015,3401,4016,2496,13719,3624,2913,5608,7953,6505,3296,1752,7392,3182,4921,7504,2048,"2016-03-03 05:34:00",1366,768,76,257,7,1,"PT","41.2357","-8.6199"
"211",3,5,5,5,3,2,4,1,5,2,3,4,3,5,1,2,2,1,4,1,1,3,1,5,3,5,2,4,3,5,1,5,1,1,1,5,2,4,2,3,5,1,5,1,4,1,4,5,5,5,5088,3776,2144,5689,4745,3817,5014,2257,2824,7985,1565,2484,2413,1737,2117,3163,3288,2561,1339,1658,567977,4144,2405,1802,5474,5400,6956,6236,3385,1978,3058,2195,3028,2029,1658,2074,943,1900,4199,2781,2227,3460,2106,2343,1941,1968,2615,1726,1792,1619,"2016-03-03 05:36:31",1440,900,15,719,10,1,"TZ","-6.0","35.0"
"212",1,4,4,4,3,2,2,4,3,4,3,3,4,2,3,3,2,2,3,3,2,3,2,3,3,3,2,3,3,3,4,2,4,2,4,1,4,2,4,4,5,1,5,1,3,1,4,5,4,3,5463,4776,2716,2740,2207,1704,3463,2876,3635,958,1968,4538,778,1156,2066,4552,2122,1776,1660,2484,2114,1528,2276,1944,4034,3326,2593,2138,2907,2970,1790,2516,1782,1944,2362,2028,1598,662,1904,948,940,2908,1150,1697,2084,1186,2436,1650,1572,1650,"2016-03-03 05:37:08",2560,1440,308,116,4,1,"US","41.3094","-72.924"
"213",5,1,5,3,4,1,5,2,4,3,3,4,2,5,2,2,3,1,2,1,3,4,3,3,2,4,2,4,4,4,4,3,5,2,2,3,3,5,3,4,2,2,4,2,4,2,4,4,4,5,5967,91747,16130,4914,4901,6027,6445,4421,9704,3545,3740,23305,20197,9506,33415,6576,2056,7944,2641,5059,7457,6228,6602,8075,7133,9055,8934,5584,8924,3956,5788,25494,6939,3413,8693,4713,6993,27949,3398,11290,4323,4548,3753,5008,28262,5562,4659,9178,4593,2558,"2016-03-03 05:37:34",1366,768,8,520,21,20,"US","40.4301","-74.0985"
"214",3,1,4,3,4,2,3,3,3,3,2,3,4,2,3,3,3,2,3,3,1,4,2,4,2,4,1,4,4,4,3,3,5,3,3,2,4,2,4,4,5,1,5,1,3,1,4,5,5,3,10095,2536,2672,1968,2376,3528,3704,3824,2736,2272,2432,1552,2056,9256,2080,3856,3159,1960,1360,2247,5240,4936,3111,2280,2967,1896,2888,2120,1776,1928,3448,1912,3480,3784,2648,3976,6144,3272,2248,2728,2256,2800,1584,8696,6096,2248,1208,2232,4376,1336,"2016-03-03 05:38:05",1024,819,6,162,9,1,"LU","49.75","6.1667"
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1086,NA,NA,4990,NA,NA,NA,NA,7529,NA,3984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10712,NA,NA,NA,NA,NA,NA,7668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
"216",1,4,5,3,3,4,3,2,3,5,3,3,4,2,3,3,3,4,3,3,4,5,1,5,2,5,1,3,4,4,3,1,4,2,5,1,2,1,3,4,2,3,3,3,3,3,3,2,3,3,105568,3521,2921,8337,4526,2238,210270,5870,5506,6760,4119,6575,6466,41309,11214,3634,5085,4473,4954,21395,36394,24348,21896,2345,3378,3474,4624,5813,6507,8352,4314,5669,28832,5369,101341,11027,8860,44979,4123,9443,9025,5104,23641,53237,4356,6073,1860,3037,2999,2607,"2016-03-03 05:39:09",1366,768,22,950,21,1,"MY","3.1698","101.7026"
"217",4,3,4,4,3,1,2,4,2,4,4,2,4,2,4,4,4,3,4,3,4,3,3,2,3,3,3,3,2,4,3,3,4,3,2,2,3,3,3,3,4,3,3,3,4,3,3,4,4,3,7008,16168,2632,2560,1808,3368,2617,1087,3272,3432,1176,2704,976,1785,10784,2329,3821,3927,1496,3000,1939,2600,1152,1880,2432,1728,1560,1520,1664,3592,3784,11531,2448,2968,3096,3080,1859,873,976,992,1416,2816,1720,2279,2904,968,3824,1360,6688,1408,"2016-03-03 05:42:00",1440,900,21,155,13,13,"US","38.0","-97.0"
"218",4,1,4,1,4,1,4,2,4,1,1,5,1,3,5,2,2,3,2,1,0,4,4,1,4,2,2,2,2,2,2,2,3,3,2,2,4,4,2,2,4,2,5,2,4,1,4,2,1,4,3581,2303,1844,2551,1338,1768,2928,2979,1643,1542,3963,3033,1792,3993,3282,1994,4951,2451,1564,1970,0,1765,1563,2828,5684,1793,3041,2878,1915,2273,4973,4570,2224,3586,2298,2348,4458,25309,1114,4342,1945,3029,1566,3434,1492,7048,1768,1416,2020,1400,"2016-03-03 05:42:57",1440,900,2,157,5,1,"GB","53.1544","-0.647"
"219",3,2,4,3,4,3,3,0,4,4,4,3,4,2,3,3,3,4,5,4,4,4,4,4,2,4,2,4,5,5,2,4,4,2,1,5,2,3,3,2,1,3,5,3,4,2,4,1,4,4,15849,25471,5217,12265,3762,4626,6579,0,26025,6408,7712,8554,6821,7010,6131,14602,9499,9865,6595,34813,7576,3999,8237,6843,4912,4497,17572,4199,3862,5467,3543,9672,12492,9710,8677,7182,49320,27371,2674,4547,8356,7493,2851,5209,6983,3467,4219,6101,5111,2823,"2016-03-03 05:43:46",1366,768,3,476,22,16,"US","38.0","-97.0"
