"","EXT1","EXT2","EXT3","EXT4","EXT5","EXT6","EXT7","EXT8","EXT9","EXT10","EST1","EST2","EST3","EST4","EST5","EST6","EST7","EST8","EST9","EST10","AGR1","AGR2","AGR3","AGR4","AGR5","AGR6","AGR7","AGR8","AGR9","AGR10","CSN1","CSN2","CSN3","CSN4","CSN5","CSN6","CSN7","CSN8","CSN9","CSN10","OPN1","OPN2","OPN3","OPN4","OPN5","OPN6","OPN7","OPN8","OPN9","OPN10","EXT1_E","EXT2_E","EXT3_E","EXT4_E","EXT5_E","EXT6_E","EXT7_E","EXT8_E","EXT9_E","EXT10_E","EST1_E","EST2_E","EST3_E","EST4_E","EST5_E","EST6_E","EST7_E","EST8_E","EST9_E","EST10_E","AGR1_E","AGR2_E","AGR3_E","AGR4_E","AGR5_E","AGR6_E","AGR7_E","AGR8_E","AGR9_E","AGR10_E","CSN1_E","CSN2_E","CSN3_E","CSN4_E","CSN5_E","CSN6_E","CSN7_E","CSN8_E","CSN9_E","CSN10_E","OPN1_E","OPN2_E","OPN3_E","OPN4_E","OPN5_E","OPN6_E","OPN7_E","OPN8_E","OPN9_E","OPN10_E","dateload","screenw","screenh","introelapse","testelapse","endelapse","IPC","country","lat_appx_lots_of_err","long_appx_lots_of_err"
"11",3,3,NA,3,3,2,4,3,3,5,4,3,4,1,2,3,5,4,4,5,2,5,3,4,2,3,1,3,4,2,1,5,5,5,1,5,3,1,1,5,5,1,5,1,5,1,5,5,5,5,2687,2346,1784,1696,2620,3288,4442,1717,2269,2400,2625,2042,1803,1811,3687,3546,3794,2054,2436,1419,3166,1156,2215,2530,2227,2206,3157,2755,2225,1288,2207,1318,1459,3266,1198,2397,2320,1952,1968,1832,1870,2105,1118,1928,1606,1197,964,1434,1858,1193,"2016-03-03 02:08:17",1440,900,6,110,7,1,"UA","50.4333","30.5167"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4876,NA,NA,2164,NA,NA,NA,NA,3096,NA,3158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4332,NA,NA,NA,NA,NA,NA,5316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
"13",4,1,5,4,5,1,4,1,5,2,1,5,1,2,1,1,5,4,1,5,1,5,2,5,1,4,1,5,5,5,2,4,5,4,2,3,1,4,1,2,5,1,5,1,4,1,5,5,5,5,16824,3363,3985,4895,4005,9861,5646,4559,12550,10819,11723,4571,16338,5432,6640,4814,12849,8155,12604,11423,10246,4074,26903,5067,6245,6648,NA,7050,4217,21209,4974,7185,8223,6640,6144,8964,NA,56462,3923,17173,10268,5289,2288,5150,5392,4426,5185,5963,6688,1265,"2016-03-03 02:10:44",320,480,128,459,8,1,"FR","48.8539","2.604"
"14",1,5,1,5,1,5,1,5,1,5,5,1,5,1,4,5,3,3,4,5,2,2,2,3,3,3,3,0,3,1,3,2,5,3,4,1,5,3,4,3,5,1,4,1,2,2,4,5,5,3,3853,1619,1435,918,917,2269,1734,1252,1436,700,1436,1903,934,1299,2153,1703,2553,3236,2037,750,9794,6174,5706,5622,2253,1652,5290,0,5106,2620,1768,2669,1819,12967,1401,1785,1535,2736,1484,3520,1434,1768,2069,1869,1418,2736,1618,1335,1434,1718,"2016-03-03 02:10:50",1920,1080,2,129,5,1,"GB","53.8","-1.5833"
"15",1,5,2,5,1,4,1,2,2,5,4,3,5,1,4,4,4,2,4,5,2,5,4,5,1,5,2,4,5,5,4,4,2,4,2,3,4,1,4,5,5,4,5,5,4,1,4,4,5,5,2174,1728,1736,1765,3279,2548,2378,3808,2443,1035,2744,1687,1380,1342,1964,1885,3470,1135,2212,1916,4808,1508,2594,399,1392,NA,3313,2881,2362,1351,2010,1665,4328,1931,2611,4129,3183,2177,2700,1418,1012,6052,2133,3744,2075,2230,2587,3350,3743,636,"2016-03-03 02:11:06",1920,1080,6,120,8,1,"AU","-37.9333","145.2333"
"16",2,1,3,4,4,NA,5,3,3,5,4,2,3,3,3,4,3,3,5,5,5,5,5,5,2,3,3,3,4,5,3,3,4,4,4,2,3,3,4,5,5,2,5,3,4,1,3,3,5,5,305890,3696,4296,5952,2760,3992,5040,3761,5120,3336,3503,4960,3288,91526,3400,3056,2487,2352,2456,1448,4328,1704,3688,3296,5007,3408,3239,3535,3088,2720,6696,5280,3088,2816,7680,6464,3329,30719,3616,6568,3984,8776,25911,5064,2376,NA,5664,3488,4424,1847,"2016-03-03 02:11:53",1366,768,9,641,19,1,"IN","20.0","77.0"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2463,NA,NA,1480,NA,NA,NA,NA,1423,NA,2647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2528,NA,NA,NA,NA,NA,NA,2088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"18",4,1,5,2,4,2,3,2,4,2,1,4,3,5,3,2,3,2,2,1,4,5,1,5,2,4,2,4,4,4,3,3,4,4,2,3,4,3,2,3,3,NA,4,3,3,4,3,2,2,3,36633,3006,3892,2926,2420,5788,6562,2322,2352,7026,5072,7634,2846,1880,59526,11156,2290,5422,3792,1376,3207,2088,1941,6070,5780,6610,3096,11300,2038,15258,3828,3692,3733,6776,5674,33732,11744,20568,4190,18418,3368,4022,5967,7068,2790,3022,9024,3982,1716,1988,"2016-03-03 02:14:27",1536,864,229,388,26,6,"NL","51.9225","4.4792"
"19",4,2,5,3,4,4,5,2,5,2,2,5,4,4,3,4,2,1,1,1,1,5,1,5,1,5,1,5,5,4,0,3,5,3,1,5,3,2,1,2,4,1,5,1,3,5,4,2,5,3,15771,7379,53546,4563,3381,10248,3100,4623,5820,5583,9215,2783,3997,141423,4690,4703,7147,3549,3452,4284,2422,4034,2848,2086,3998,2654,39228,2986,3366,98375,0,9418,3053,5168,4533,5996,2655,10151,4852,3984,7751,3217,2702,3998,3162,25811,12275,12978,4282,2950,"2016-03-03 02:16:17",1280,768,15,592,39,1,"ZA","-29.0","24.0"
"20",5,1,5,2,5,1,5,3,5,4,4,1,4,2,4,4,4,4,5,4,3,3,4,NA,2,5,1,4,4,4,4,1,5,1,NA,5,5,1,5,5,4,5,3,5,4,3,5,4,2,3,3721,5472,2457,5191,2735,1960,2392,3584,2007,1616,2264,4408,1632,2392,2768,1575,2432,3063,688,2991,3950,1488,2063,2073,3328,1936,2232,2872,2033,1680,2120,3816,3032,2504,1968,2504,1320,4184,3159,3000,1423,3151,1744,3128,1504,1976,1880,1769,3568,1137,"2016-03-03 02:17:05",1829,1029,5,130,10,1,"HK","22.3167","114.2167"
